연,월,기온효과
2007,01,0.11
2007,02,0.08
2007,03,0.06
2007,04,0.03
2007,05,0.01
2007,06,0.03
2007,07,0.05
2007,08,0.11
2007,09,0.02
2007,10,0.01
2007,11,0.06
2007,12,0.10
2008,01,0.14
2008,02,0.14
2008,03,0.06
2008,04,0.02
2008,05,0.02
2008,06,0.02
2008,07,0.09
2008,08,0.08
2008,09,0.04
2008,10,0.01
2008,11,0.06
2008,12,0.12
2009,01,0.16
2009,02,0.09
2009,03,0.07
2009,04,0.03
2009,05,0.02
2009,06,0.04
2009,07,0.05
2009,08,0.08
2009,09,0.03
2009,10,0.01
2009,11,0.07
2009,12,0.15
2010,01,0.19
2010,02,0.13
2010,03,0.09
2010,04,0.04
2010,05,0.01
2010,06,0.05
2010,07,0.08
2010,08,0.13
2010,09,0.05
2010,10,0.02
2010,11,0.07
2010,12,0.16
2011,01,0.25
2011,02,0.13
2011,03,0.10
2011,04,0.04
2011,05,0.01
2011,06,0.04
2011,07,0.07
2011,08,0.08
2011,09,0.04
2011,10,0.02
2011,11,0.04
2011,12,0.16
2012,01,0.19
2012,02,0.18
2012,03,0.08
2012,04,0.03
2012,05,0.02
2012,06,0.04
2012,07,0.10
2012,08,0.14
2012,09,0.02
2012,10,0.02
2012,11,0.08
2012,12,0.21
2013,01,0.21
2013,02,0.17
2013,03,0.08
2013,04,0.05
2013,05,0.02
2013,06,0.05
2013,07,0.10
2013,08,0.16
2013,09,0.04
2013,10,0.02
2013,11,0.08
2013,12,0.15
2014,01,0.17
2014,02,0.13
2014,03,0.07
2014,04,0.03
2014,05,0.03
2014,06,0.03
2014,07,0.09
2014,08,0.06
2014,09,0.03
2014,10,0.02
2014,11,0.06
2014,12,0.20
2015,01,0.17
2015,02,0.15
2015,03,0.09
2015,04,0.03
2015,05,0.03
2015,06,0.04
2015,07,0.08
2015,08,0.10
2015,09,0.03
2015,10,0.02
2015,11,0.06
2015,12,0.14
2016,01,0.22
2016,02,0.17
2016,03,0.08
2016,04,0.03
2016,05,0.03
2016,06,0.04
2016,07,0.10
2016,08,0.18
2016,09,0.04
2016,10,0.02
2016,11,0.08
2016,12,0.15
2017,01,0.20
2017,02,0.17
2017,03,0.09
2017,04,0.03
2017,05,0.02
2017,06,0.05
2017,07,0.12
2017,08,0.12
2017,09,0.03
2017,10,0.02
2017,11,0.10
2017,12,0.21
2018,01,0.26
2018,02,0.21
2018,03,0.08
2018,04,0.04
2018,05,0.02
2018,06,0.04
2018,07,0.17
2018,08,0.19
2018,09,0.02
2018,10,0.03
2018,11,0.08
2018,12,0.20
2019,01,0.20
2019,02,0.17
2019,03,0.08
2019,04,0.04
2019,05,0.03
2019,06,0.03
2019,07,0.08
2019,08,0.14
2019,09,0.04
2019,10,0.02
2019,11,0.08
2019,12,0.16
2020,01,0.16
2020,02,0.15
2020,03,0.08
2020,04,0.05
2020,05,0.02
2020,06,0.06
2020,07,0.04
2020,08,0.13
2020,09,0.02
2020,10,0.03
2020,11,0.08
2020,12,0.21
2021,01,0.25
2021,02,0.16
2021,03,0.07
2021,04,0.03
2021,05,0.02
2021,06,0.04
